,TICKER,EPS,PE,PEG,PS,DER,PASS
0,A,3.936,40.77185600275292,-0.1600486023257477,4.590756317500647,0.5235394214407261,False
1,AA,-8.16,-7.585314004978617,0.0031951438704078245,0.3945514658933188,0.3572558323448003,False
2,AAP,6.5280000000000005,23.50194825823382,-0.3098913178408056,0.27752716021478274,1.3634122035738594,False
3,AAPL,5.95,27.255603729089675,-11.248836960903473,7.162323793827223,2.3695334701610355,False
4,ABT,2.93,36.24801075441833,-7.764691529450575,4.177456360603083,0.48290901161205907,False
5,ACGL,5.8999999999999995,148.98142252051105,5.758309364318848,2.6734620218170386,0.2111072493548255,False
6,ACI,2.4066666666666667,11.608939825877357,-0.4794642925262449,0.15587623211045595,9.28857018687527,False
7,ACN,10.696,28.37338161421318,-1.3251901316846528,2.9335105235898618,0.12256465702369443,False
8,ADBE,10.823999999999998,37.0865712005565,1.8676898980819383,13.220575632537983,0.32972742153583373,True
9,ADCT,-2.27,-1.607755198485422,0.15360440107492285,0.5519589859358777,1.3228780416333248,False
10,ADI,7.040000000000001,24.91924287529286,1.726507012049357,6.508519089229717,0.1795849991511113,True
11,ADM,7.49,10.919194043463904,-1.4372109585120998,0.39024977999689814,0.3775136735617058,False
12,ADP,8.2,28.066632148783576,inf,5.804559365969531,0.9514975349804793,True
13,ADSK,3.912,55.964156183973955,3.671310447244083,8.405379955592034,2.3283842794759826,False
14,ADTN,-0.95,-3.528508188966595,0.2637656631326318,0.4207941450253496,0.14412779362540107,False
15,AEE,4.27,22.742991316951425,-0.12399938893435625,2.4763256061168253,1.4365245527217358,False
16,AEG,-0.9333333333333332,10.11534433516245,-0.022846154066232534,-0.036814291407702926,0.4803448019618043,False
17,AEM,5.14,28.522870178094117,0.8364885863708275,4.091516637429425,0.09195125157430004,True
18,AEP,3.85,24.67111663289826,-0.5128906068945288,1.95485732190151,1.6908560522989613,False
19,AES,-0.6100000000000002,-13.334403959328515,0.008839635090535746,0.718653905282977,9.642183011899878,False
20,AFG,9.999284,12.843349865285877,0.9088089242831778,1.2146327005162378,0.36920039486673245,False
21,AFL,7.49,19.508178729305303,0.8360891637437732,2.4841257726021566,0.3695134061569017,False
22,AG,-0.57,-21.816863596170872,0.7143749892711636,2.605111923836196,0.17568578712646088,False
23,AGE,-0.3,-2.2798734968380323,-0.16391665985186876,689.5144790490365,-1.0529862886358354,False
24,AGO,5.1,23.380297722560996,0.7373448697669568,12.439626058990276,0.3307661927330174,True
25,AGR,1.5,31.409067444395607,-1.6988889199716068,1.510783617467418,0.4842105263157895,False
26,AIG,6.08,115.09977878499727,-0.046834013153906576,0.846681241243366,0.6794410279486026,False
27,AIT,8.84,14.517592049813544,0.8066156730274768,1.353197813550992,0.42654979268902254,False
28,AIV,-1.2300000000000002,-32.565259016537176,0.009147869913201583,5.21344878829086,2.1225148397742455,False
29,AIZ,6.429999999999999,77.36771079948868,2.725692367948607,0.7323866820987045,0.5036772530564949,False
30,AJG,5.130000000000001,45.73326898234693,-3.2073774738472114,5.398764191115729,0.7015945579421672,False
31,AKAM,2.96,28.43862658305507,1.5502941117567182,4.312722821315065,0.7280919373412196,False
32,AKZOY,0.5899409999999999,108.28654772657366,0.9745170710629892,1.0611566132931014,1.3558735287329795,False
33,AL,4.2700000000000005,8.87073583378767,0.47376389238569455,1.5497639457985581,2.8046918292004213,False
34,ALB,33.24,7.4086885758528975,-0.22944325545532535,1.69760852189212,0.40301269243821614,False
35,ALE,3.4099999999999997,17.794758068362356,0.6157052940589735,1.6236734191545672,0.718191611872655,False
36,ALEX,-0.65,33.659180856886366,0.9211111068725586,4.570168243686569,0.4606546297190306,False
37,ALKS,0.5699999999999998,-18.71948305340515,-0.11160147723712284,3.4714171036197916,0.28097643791203475,False
38,ALL,-10.35,-16.89194526626264,-0.23554867614293903,0.5902122646453167,0.4557367668097282,False
39,ALTR,-0.5800000000000001,-228.160716238476,0.5264285859607517,8.604688113554062,0.5968817136357892,False
40,ALV,4.479308,21.633374736951485,-0.1399597049744661,0.8339203715039472,0.7359357060849598,False
41,ALX,20.22,16.262724665532616,0.2317291046725834,4.224809799035712,4.613342973966064,False
42,AM,0.7000000000000001,14.927492149515091,2.4300000807818285,5.658148679979956,1.5332091421043845,False
43,AMAT,7.544,15.154862538940629,inf,4.243283406395712,0.4475151713957684,True
44,AMCR,0.704,17.801351627082372,-0.6652167054914657,0.8377417061359126,1.6493887530562348,False
45,AMD,-0.01999999999999999,787.0312399334377,-3.9600000381469727,7.522508131907383,0.05229223744292238,False
46,AME,5.34,26.205995701479978,2.797286912032298,5.0894823826490585,0.31899995612927523,True
47,AMG,26.889999999999997,8.54344851022947,0.7212549504779632,2.0252759706985435,0.784849704361824,False
48,AMGN,14.83,17.25155753106546,-0.258062468510088,5.625162856887856,10.63780387872166,False
49,AMH,0.9800000000000001,36.43591906800472,1.2168544465368918,9.00415117395742,0.6951981277056127,False
50,AMP,21.29,15.206041608911125,0.31762629367745654,2.1789551357510413,1.4904511486299474,False
51,AMR,56.81,2.6593201448646235,-0.13815932701660508,0.8489494312109798,0.007676140317746747,False
52,AMT,2.0700000000000003,27.94916071795743,-0.38994657565385865,6.838496984757025,8.44357906826502,False
53,AMX,27.536251999999998,0.759037773853393,0.0231892160661928,0.06340449807663322,0.35887405793587873,False
54,AMZN,1.27,237.37409271867676,1.772442084942085,2.410488477717484,0.9594297569893798,False
55,AN,24.116567,5.273698308929077,-0.8378291389344018,0.22112084948403882,3.1344857896278935,False
